run_idx,seed,subset_fraction,train_rows,train_cross_sections,test_rows,test_cross_sections,topk_percent_auc,topk_percent@0.01,topk_percent@0.02,topk_percent@0.05,topk_percent@0.1,topk_percent@0.2
0,42,0.7,24668,159,16960,58,0.9433189655172414,0.3620689655172414,0.4482758620689655,0.6724137931034483,0.8275862068965517,0.9482758620689655
1,43,0.7,24613,159,16960,58,0.9182327586206898,0.3103448275862069,0.43103448275862066,0.6551724137931034,0.7931034482758621,0.9137931034482759
2,44,0.7,24651,159,16960,58,0.9096120689655174,0.25862068965517243,0.43103448275862066,0.6379310344827587,0.7241379310344828,0.8275862068965517
3,45,0.7,24876,159,16960,58,0.9265948275862069,0.3275862068965517,0.43103448275862066,0.6551724137931034,0.8103448275862069,0.8448275862068966
4,46,0.7,24536,159,16960,58,0.9309051724137931,0.3448275862068966,0.46551724137931033,0.6379310344827587,0.8103448275862069,0.9310344827586207
5,47,0.7,24399,159,16960,58,0.9235344827586208,0.3620689655172414,0.43103448275862066,0.6379310344827587,0.7931034482758621,0.896551724137931
6,48,0.7,24691,159,16960,58,0.9161206896551725,0.27586206896551724,0.4482758620689655,0.603448275862069,0.8103448275862069,0.8620689655172413
7,49,0.7,24595,159,16960,58,0.9097413793103448,0.1896551724137931,0.29310344827586204,0.5,0.7241379310344828,0.896551724137931
8,50,0.7,24518,159,16960,58,0.9140517241379311,0.3103448275862069,0.39655172413793105,0.603448275862069,0.7068965517241379,0.8793103448275862
9,51,0.7,24554,159,16960,58,0.9184913793103449,0.2413793103448276,0.3620689655172414,0.6379310344827587,0.7931034482758621,0.896551724137931
10,52,0.7,24573,159,16960,58,0.9162068965517243,0.3103448275862069,0.4827586206896552,0.5862068965517241,0.7413793103448276,0.8448275862068966
11,53,0.7,24461,159,16960,58,0.8971120689655173,0.3275862068965517,0.3793103448275862,0.5344827586206896,0.7413793103448276,0.8448275862068966
12,54,0.7,24768,159,16960,58,0.9156034482758622,0.3103448275862069,0.39655172413793105,0.5517241379310345,0.7413793103448276,0.8620689655172413
13,55,0.7,24430,159,16960,58,0.917844827586207,0.29310344827586204,0.4482758620689655,0.6206896551724138,0.7758620689655172,0.8793103448275862
14,56,0.7,24644,159,16960,58,0.916896551724138,0.3448275862068966,0.39655172413793105,0.5862068965517241,0.7758620689655172,0.9137931034482759
15,57,0.7,24495,159,16960,58,0.926896551724138,0.29310344827586204,0.4827586206896552,0.6379310344827587,0.7758620689655172,0.8620689655172413
16,58,0.7,24824,159,16960,58,0.916896551724138,0.3103448275862069,0.43103448275862066,0.6206896551724138,0.7586206896551724,0.8620689655172413
17,59,0.7,24637,159,16960,58,0.9205172413793103,0.3620689655172414,0.46551724137931033,0.6206896551724138,0.7931034482758621,0.9137931034482759
18,60,0.7,24637,159,16960,58,0.9163362068965517,0.29310344827586204,0.41379310344827586,0.603448275862069,0.7241379310344828,0.8793103448275862
19,61,0.7,24702,159,16960,58,0.9265086206896551,0.25862068965517243,0.3620689655172414,0.5689655172413793,0.7931034482758621,0.896551724137931
20,62,0.7,24440,159,16960,58,0.924698275862069,0.3103448275862069,0.43103448275862066,0.6379310344827587,0.7413793103448276,0.8448275862068966
21,63,0.7,24704,159,16960,58,0.9134051724137932,0.27586206896551724,0.41379310344827586,0.5862068965517241,0.7413793103448276,0.8620689655172413
22,64,0.7,24517,159,16960,58,0.9156034482758622,0.27586206896551724,0.43103448275862066,0.5344827586206896,0.7931034482758621,0.8620689655172413
23,65,0.7,24454,159,16960,58,0.9081034482758621,0.29310344827586204,0.46551724137931033,0.6551724137931034,0.7931034482758621,0.8620689655172413
24,66,0.7,24726,159,16960,58,0.9186637931034483,0.29310344827586204,0.46551724137931033,0.6724137931034483,0.7758620689655172,0.8793103448275862
